pouvoir, peux, peux, peut, pouvons, pouvez, peuvent 
vouloir, veux, veux, veut, voulons, voulez, veulent
devoir, dois, dois, doit, devons, devez, doivent
boire, bois, bois, boit, buvons, buvez, boivent
venir, viens, viens, vient, venons, venez, viennent
prendre, prends, prends, prend, prenons, prenez, prennent
sortir, sors, sors, sort, sortons, sortez, sortent
partir, pars, pars, part, partons, partez, partent 
dormir, dors, dors, dort, dormons, dormez, dorment
courir, cours, cours, court, courons, courez, courent
sentir, sens, sens, sent, sentons, sentez, sentent
dire, dis, dis, dit, disons, dites, disent
lire, lis, lis, lit, lisons, lisez, lisent
ecrire,ecris, ecris, ecrit, ecrivons, ecrivez, ecrivent
mettre, mets, mets, met, mettons, mettez, mettent
permettre, permets, permets, permet, permettons, permettez, permettent
promettre, promets, promets, promet, promettons, promettez, promettent
ouvrir, ouvre, ouvres, ouvre, ouvrons, ouvrez, ouvrent 
savoir, sais, sais, sait, savons, savez, savent
connaitre, connais, connais, connait, connaissons, connaissez, connaissent
se laver, me lave, te laves, se lave, nous lavons, vous lavez, se lavent
avoir,ai, as, a, avons, avez, ont
etre, suis, es, est, sommes, etes, sont
faire, fais, fais, fait, faisons, faites, font
aller, vais, vas, va, allons, allez, vont
